Store_Name,Address,lat,lgt,NumPanels,YearlyEnergy,SolarArea,OutputVerificationFlag
Brookstone,"1790 Mars Hill Rd NW, Acworth, GA 30101",33.9985763,-84.704453,64,35980.78,125.66751,0
Brunswick (GA),"70 Golden Isles Plz, Brunswick, GA 31520",31.2115588,-81.49076319999999,103,64431.09,202.24615,0
Buford,"1615 Buford Hwy, Buford, GA 30518",34.098467,-84.0104739,123,70919.13,241.51724,0
Byron [GA],"402 GA Highway 49 N, Byron, GA 31008",32.6626674,-83.7390095,68,42494.227,133.52173,0
Calhoun,"495 Highway 53 E, Calhoun, GA 30701",34.4749453,-84.92801,88,53076.992,172.79283,0
Camp Creek Parkway,"3410 Camp Creek Pkwy, Atlanta, GA 30344",33.656436,-84.5016629,84,45551.496,164.93861,0
Canton Marketplace,"2048 Cumming Hwy, Canton, GA 30115",34.2361792,-84.4534882,77,43942.383,151.19373,0
Carrollton,"1316 S Park St, Carrollton, GA 30117",33.554566,-85.072209,9,5254.849,17.671993,1
Cascade Road,"3725 Cascade Rd SW, Atlanta, GA 30331",33.7244757,-84.51121169999999,104,58658.242,204.2097,0
Cedartown [GA],"1610 Rome Hwy, Cedartown, GA 30125",34.0477576,-85.2353303,53,31872.086,104.068405,0
Chamblee Plaza,"5450 Peachtree Industrial Blvd, Chamblee, GA 30341",33.9578746,-84.2123801,653,387479.63,1282.2013,0
Chastain Road In-Line DT,"600 Chastain Rd NW Ste 100, Kennesaw, GA 30144",34.0369882,-84.5696724,198,112871.94,388.78387,0
Chastain Square,"4285 Roswell Rd NE, Atlanta, GA 30342",33.8718466,-84.3805299,519,311497.03,1019.08496,0
Cherokee Place,"115 Cherokee Pl, Cartersville, GA 30121",34.1712186,-84.7863399,922,569339.75,1810.3976,0
Children's Hospital of Georgia,"1446 Harper St, Augusta, GA 30912",33.4711973,-81.987893,7,4016.3625,13.7448845,1
Clayton,"151 Highway 441 N, Clayton, GA 30525",34.880374,-83.3970794,114,68054.664,223.84526,0
Cleveland (GA),"25 W Underwood St, Cleveland, GA 30528",34.595049,-83.7638097,115,69474.46,225.8088,0
Cleveland Avenue,"1065 Cleveland Ave, East Point, GA 30344",33.6817951,-84.4239609,90,47916.17,176.71994,0
CNN Center,"1 Cnn Ctr NW Ste 224, Atlanta, GA 30303",33.758129,-84.3943694,5128,2781851,10069.109,1
College Football Hall of Fame,"256 Marietta St NW, Atlanta, GA 30313",33.7604153,-84.3954498,2603,1501454.9,5111.1333,1
Colony Square,"1175 Peachtree St NE, Atlanta, GA 30361",33.7869752,-84.3827183,479,229829.97,940.5428,0
Columbus Park Crossing,"5520 Whittlesey Blvd, Columbus, GA 31909",32.5452239,-84.94508019999999,105,62735.9,206.17326,0
Columbus State University,"4225 University Ave, Columbus, GA 31907",32.5023087,-84.9414487,474,295292.38,930.725,0
Commerce,"30563 Highway 441 S, Commerce, GA 30529",34.2576527,-83.46373170000001,107,65095.88,210.10037,0
Conyers,"1536 Highway 138 SE, Conyers, GA 30013",33.6498024,-84.00972639999999,186,107876.07,365.2212,0
Cordele,"1711 E 16th Ave, Cordele, GA 31015",31.9609019,-83.7544693,126,72352.484,247.40791,0
Cornelia,"330 Furniture Plaza Dr, Cornelia, GA 30531",34.5358727,-83.53468149999999,122,74112.8,239.5537,0
Covington (GA),"4102 Highway 278 NW, Covington, GA 30014",33.6034699,-83.8660201,170,102967.98,333.80432,0
Covington Town Center,"11500 Town Center Drive, Covington, GA 30014",33.620113,-83.8403529,4813,3025923.3,9450.59,1
Coweta Crossroads,"5 Glenda Trce, Newnan, GA 30265",33.4091293,-84.685892,107,62121.24,210.10037,0
Cumberland Mall,"2860 Cumberland Mall SE Ste 1324, Atlanta, GA 30339",33.87976829999999,-84.46785990000001,20227,12178606,39716.824,1
Dacula,"545 Dacula Rd, Dacula, GA 30019",34.0002637,-83.9082099,63,36570.914,123.70396,0
Dahlonega,"488 Morrison Moore Pkwy E, Dahlonega, GA 30533",34.5343259,-83.9757283,137,77116.73,269.00702,0
Dallas (GA),"300 Charlie Watts Dr, Dallas, GA 30157",33.90794959999999,-84.8226571,74,42966.035,145.30305,0
Dalton,"1429 W Walnut Ave, Dalton, GA 30720",34.7598377,-84.9946093,161,95073.58,316.13232,0
Dalton Mall,"816 Walnut Square Blvd Ste 59, Dalton, GA 30721",34.758607,-84.93352720000001,18594,11144096,36510.34,1
Dawsonville,"231 Power Center Dr, Dawsonville, GA 30534",34.3567254,-84.04444610000002,130,76857.22,255.26213,0
Delta Air Lines Headquarters,"1030 Delta Blvd, Atlanta, GA 30354",33.656213,-84.4238195,3841,2275817,7542.014,1
Doraville Plaza,"5700 Buford Hwy Ne, Doraville, GA 30340",33.9076345,-84.2691001,70,40196.746,137.44884,0
Douglas [GA],"1305 Peterson Ave S, Douglas, GA 31533",31.4909572,-82.8514837,637,390020.38,1250.7844,0
Douglasville,"3202 Highway 5, Douglasville, GA 30135",33.7173488,-84.76417339999999,445,241993.19,873.7819,0
Downtown Athens In-Line,"101 College Ave, Athens, GA 30601",33.9579795,-83.375638,405,232964.55,795.23975,0
Downtown Decatur,"105 E Trinity Pl, Decatur, GA 30030",33.7730408,-84.2960895,83,45515.547,162.97505,0
Dublin,"2002 Veterans Blvd, Dublin, GA 31021",32.5406478,-82.9483703,89,55027.293,174.75638,0
Dwarf House Chick-fil-A Classics Mt. Berry Square,"726 Mount Berry Sq NE, Rome, GA 30165",34.2853865,-85.18810909999999,618,310822.03,1213.4769,0
Dwarf House Shipping Container Drive-Thru,"315 Riverside Pkwy NE, Rome, GA 30161",34.2624016,-85.1706586,419,246518.66,822.7295,0
Eagles Landing,"1275 Eagles Landing Pkwy, Stockbridge, GA 30281",33.5062747,-84.22854009999999,51,31506.613,100.1413,0
East Lake,"2105 Roswell Rd, Marietta, GA 30062",33.9665793,-84.4918909,90,52036.465,176.71994,0
Eisenhower Parkway,"5055 Brookhaven Rd, Macon, GA 31206",32.8111833,-83.7214212,69,41403.22,135.48529,0
Ellijay,"475 Howard Simmons Rd, Ellijay, GA 30540",34.6584596,-84.4927554,123,67365.49,241.51724,0
Epps Bridge,"1870 Epps Bridge Pkwy, Athens, GA 30606",33.9170969,-83.4428769,97,58934.31,190.46483,0
Fairburn,"7810 Senoia Rd, Fairburn, GA 30213",33.5435184,-84.5762541,72,42196.79,141.37595,0
Fairburn Road Drive-Thru Only,"5888 Fairburn Rd, Douglasville, GA 30134",33.75081790000001,-84.7265974,5,2906.8384,9.817774,1
Fayetteville Dwarf House,"221 Banks Sta, Fayetteville, GA 30214",33.467444,-84.446589,205,115402.95,402.52875,0
Fayetteville Towne Center,"875 Glynn St S, Fayetteville, GA 30214",33.4298632,-84.45870169999999,82,48448.08,161.0115,0
Forest Park Dwarf House,"4959 Jonesboro Rd, Forest Park, GA 30297",33.6190338,-84.351778,127,75241.15,249.37146,0
Forsyth [GA],"101 Industrial Park Dr, Forsyth, GA 31029",33.0269482,-83.91425079999999,7,4204.831,13.7448845,1
Fort Oglethorpe,"1137 Battlefield Pkwy, Fort Oglethorpe, GA 30742",34.9531909,-85.2451405,71,39781.54,139.4124,0
Gainesville West,"805 Dawsonville Hwy, Gainesville, GA 30501",34.2968468,-83.8558336,84,50256.03,164.93861,0
Georgia College and State University,"231 W Hancock St, Milledgeville, GA 31061",33.0827363,-83.23187229999999,1992,1268119.1,3911.4014,0
Georgia Gwinnett College,"1000 University Center Ln, Lawrenceville, GA 30043",33.9814112,-84.0000397,1833,1100394.5,3599.196,0
Georgia Southern University,"8107 Russell Un, Statesboro, GA 30460",32.4259367,-81.7828033,146,77060.18,286.67902,0
Georgia Southern University - Armstrong Campus,"11935 Abercorn St, Savannah, GA 31419",31.978225,-81.16483199999999,2024,1191691.6,3974.235,1
Georgia Southwestern State University,"800 Gsw State University Dr, Americus, GA 31709",32.05501,-84.2161405,638,380895.63,1252.748,0
Georgia State University,"66 Courtland Street, Atlanta, GA 30303",33.7592065,-84.3840369,85,38222.832,166.90216,0
Georgia State University - Petit Science Center,"100 Piedmont Avenue SE, Atlanta, GA 30303",33.7510285,-84.38558130000001,782,424878,1535.4999,0
Georgia Tech,"350 Ferst Dr NW, Atlanta, GA 30332",33.7742484,-84.398842,1903,1123176.9,3736.6448,0
Glenwood Place,"401 Bill Kennedy Way SE, Atlanta, GA 30316",33.7423181,-84.3584968,104,57942.8,204.2097,0
Godley Station,"205 Grand Central Boulevard, Pooler, GA 31322",32.131333,-81.25762499999999,704,434590.63,1382.3427,0
Grady Memorial Hospital,"80 Jesse Hill Jr Dr Se, Atlanta, GA 30303",33.7514934,-84.3826634,4060,2092196,7972.0327,1
Griffin,"1000 W Taylor St, Griffin, GA 30223",33.2470719,-84.2785214,202,113308.73,396.6381,0
Grovetown,"210 Meridian Dr, Grovetown, GA 30813",33.4786328,-82.1984083,164,99105.02,322.023,0
Gulfstream Aerospace,"500 Gulfstream Rd, Savannah, GA 31408",32.1391744,-81.1972886,1076,671877.4,2112.785,0
Halcyon,"6105 Ollie Walk, Alpharetta, GA 30005",34.1103864,-84.22012459999999,63,37961.04,123.70396,0
Hamilton Mill,"2635 Hamilton Mill Rd, Buford, GA 30519",34.0793743,-83.917723,94,51492.2,184.57416,0
Hartsfield-Jackson Atlanta Int'l Airport - Conc A,"6000 N Terminal Pkwy, Atlanta, GA 30320",33.641392,-84.445118,102,56395.777,200.2826,0
Hartsfield-Jackson Atlanta Int'l Airport - Conc C,"7700 Spine Rd, Atlanta, GA 30320",33.64,-84.44,9085,5415607.5,17838.896,1
Hickory Flat,"6114 Hickory Flat Hwy, Canton, GA 30115",34.1765998,-84.42100049999999,69,33290.668,135.48529,0
Hinesville,"877 W Oglethorpe Hwy, Hinesville, GA 31313",31.82152689999999,-81.6003522,35,17843.816,68.72442,0
Hiram,"5223 Jimmy Lee Smith Parkway, Hiram, GA 30141",33.8876781,-84.7411929,47,19008.758,92.28708,0
Howell Mill,"1942 Howell Mill Rd NW, Atlanta, GA 30318",33.8076775,-84.413082,61,35797.527,119.77685,0
Hwy 96 and Houston Lake,"790 Highway 96, Bonaire, GA 31005",32.5539073,-83.6605872,87,51457.85,170.82927,0
Jefferson (GA),"156 Old Farm Road, Jefferson, GA 30549",34.123837,-83.604289,562,351173.56,1103.5178,0
Jesse Jewell Parkway,"1917 Jesse Jewell Pkwy NE, Gainesville, GA 30501",34.3136392,-83.7962672,280,172972.8,549.79535,0
Jett Ferry Road,"2480 Jett Ferry Rd, Dunwoody, GA 30338",33.9585312,-84.3029171,116,66354.45,227.77237,0
Jimmy Carter Blvd.,"5455 Jimmy Carter Blvd, Norcross, GA 30093",33.9078235,-84.2055754,76,44303.074,149.23016,0
Jodeco Road,"2155 Jodeco Rd, McDonough, GA 30253",33.4807281,-84.2231011,37,20519.215,72.65153,0
Johns Creek,"3643 Peachtree Pkwy, Suwanee, GA 30024",34.0707055,-84.16637109999999,112,65041.832,219.91815,0
Jonesboro Dwarf House,"7348 Tara Blvd, Jonesboro, GA 30236",33.553919,-84.36965409999999,125,74566.734,245.44435,0
Kedron Village,"1100 N Peachtree Pkwy, Peachtree City, GA 30269",33.4405206,-84.59080589999999,88,53114.7,172.79283,0
Kennesaw State University,"395 Cobb Ave NW, Kennesaw, GA 30144",34.0387489,-84.5830539,1671,954992.1,3281.1,0
Kennesaw State University - Marietta,"1100 S Marietta Pkwy SE, Marietta, GA 30060",33.939042,-84.51909649999999,502,296277.34,985.7045,0
Kingsland,"113 Lakes Blvd, Kingsland, GA 31548",30.7889277,-81.65117579999999,152,94803.836,298.46033,0
Kroger/W. Marietta Crossing,"1000 Whitlock Ave NW, c/o Kroger Store GA-455",33.9533355,-84.5812941,3379,2046561.5,6634.852,1
LaFayette Parkway,"1574 Lafayette Pkwy, Lagrange, GA 30241",33.0415283,-84.9745488,104,61422.875,204.2097,0
Lake Dow,"860 Highway 81 E, McDonough, GA 30252",33.4393004,-84.122894,72,43574.133,141.37595,0
Lake Oconee [GA],"2521 Towne Center Pkwy, Greensboro, GA 30642",33.541714,-83.20786,29,17524.266,56.943092,0
Lake Park,"1015 Lakes Blvd, Lake Park, GA 31636",30.6828121,-83.2173825,207,129676.625,406.45584,0
LakePoint,"94 Old Allatoona Rd SE, Cartersville, GA 30121",34.120328,-84.7458339,114,66422.89,223.84526,0
Larry Mulkey Memorial Rd,"725 Atlanta Hwy, Cumming, GA 30040",34.1846087,-84.14635799999999,140,74435.27,274.89767,0
Lassiter,"3046 Shallowford Rd, Marietta, GA 30062",34.0359969,-84.4611086,77,44056.65,151.19373,0
Lavonia [GA],"20 Owens Dr, Lavonia, GA 30553",34.4480859,-83.12954669999999,161,100397.32,316.13232,0
Lee Crossings,"1202 US Highway 19 S, Leesburg, GA 31763",31.6562022,-84.1736197,99,59880.215,194.39194,0
Lenox Square,"3393 Peachtree Rd NE, Atlanta, GA 30326",33.8467259,-84.36241989999999,24572,14821675,48248.47,1
Lilburn,"4801 Lawrenceville Hwy NW, Lilburn, GA 30047",33.8951128,-84.1410089,77,43260.973,151.19373,0
Line Creek,"2720 Highway 54, Peachtree City, GA 30269",33.3962202,-84.60016019999999,128,72923.125,251.33502,0
Locust Grove,"1005 Bandy Pkwy, Locust Grove, GA 30248",33.3516841,-84.12860309999999,67,41728.82,131.55818,0
Loganville,"4321 Atlanta Hwy, Loganville, GA 30052",33.839706,-83.910068,156,91570.76,306.31454,0
Lovejoy Station,"11161 Tara Blvd, Hampton, GA 30228",33.4494088,-84.32599359999999,78,47582.563,153.15727,0
Lulah Hills,"3795 N Druid Hills Rd, Decatur, GA 30033",33.8114063,-84.2787525,366,210982.67,718.6611,0
Macland Crossing,"2005 Macland Crossing Cir SW, Marietta, GA 30008",33.9046893,-84.6034857,80,43706.3,157.08438,0
Macon Road,"2421 Wynnton Rd, Columbus, GA 31906",32.4719888,-84.9562527,91,53144,178.68349,0
Madison (GA),"1781 Eatonton Rd, Madison, GA 30650",33.5637543,-83.4790453,96,56886.36,188.50127,0
Mall of Georgia,"3333 Buford Dr Spc No1071, Buford, GA 30519",34.0662711,-83.98427459999999,24584,14673355,48272.03,1
Mall of Georgia on Buford Drive,"3235 Buford Dr, Buford, GA 30519",34.0645016,-83.9889993,133,72900.31,261.1528,0
Manchester Expressway,"2730 Manchester Expy, Columbus, GA 31904",32.5060192,-84.95222969999999,2479,1554896.9,4867.6523,1
McDonough,"1321 Highway 20 W, McDonough, GA 30253",33.4242934,-84.1834411,91,53882.875,178.68349,0
Memorial Drive,"5542 Memorial Dr, Stone Mountain, GA 30083",33.8012663,-84.21178499999999,66,36823.6,129.59462,0
Mercedes-Benz Stadium,"441 Martin Luther King Jr Dr NW, Atlanta, GA 30313",33.7556317,-84.401696,11554,6704390,22686.912,1
Mercer University,"1400 Coleman Ave, Macon, GA 31207",32.8293681,-83.6515137,5367,3298339,10538.399,1
Midland,"6501 Kitten Lake Dr, Midland, GA 31820",32.5395648,-84.8690634,95,55470.953,186.5377,0
Midtown Savannah,"7 E Derenne Ave, Savannah, GA 31405",32.0283957,-81.110362,39,22275.928,76.578636,0
Milledgeville,"1730 N Columbia St, Milledgeville, GA 31061",33.1006343,-83.24818669999999,107,65360.09,210.10037,0
Monroe (GA),"620 Highway 138, Monroe, GA 30655",33.7958305,-83.7413,91,53854.62,178.68349,0
Moore Road,"1035 Peachtree Industrial Blvd, Suwanee, GA 30024",34.0520231,-84.0901252,81,46875.35,159.04794,0
Moultrie,"502 Lane St, Moultrie, GA 31768",31.1733741,-83.7624676,104,62327.855,204.2097,0
Mullins Crossing,"4201 Washington Rd, Evans, GA 30809",33.5253146,-82.11951030000002,95,53914.117,186.5377,0
North Dalton,"1275 N Glenwood Ave, Dalton, GA 30721",34.7957762,-84.9627455,865,512384.06,1698.475,0
North Decatur,"650 Decatur Village Way, Decatur, GA 30033",33.7956905,-84.2859355,131,75068.47,257.22568,0
North Druid Hills,"2340 N Druid Hills Rd NE, Atlanta, GA 30329",33.827254,-84.32877119999999,121,69836.055,237.59013,0
North Point Mall,"2180 N Point Cir, Alpharetta, GA 30022",34.0486398,-84.29384900000001,22518,13409740,44215.33,1
North Point Parkway,"6085 N Point Pkwy, Alpharetta, GA 30022",34.0485477,-84.288524,185,104060.69,363.25766,0
North Valdosta,"3147 Inner Perimeter Rd, Valdosta, GA 31602",30.8798963,-83.29693979999999,97,60999.668,190.46483,0
Northeast Georgia Medical Center,"743 Spring St NE, Gainesville, GA 30501",34.3034084,-83.8164795,426,258201.75,836.47437,0
Northlake Festival,"3967 Lavista Rd, Tucker, GA 30084",33.8459618,-84.2525325,83,48909.37,162.97505,0
Northridge Drive-Thru Only,"8433 Roswell Rd, Atlanta, GA 30350",33.9843802,-84.3499405,48,27306.402,94.25063,0
Oakwood,"3437 Winder Hwy, Flowery Branch, GA 30542",34.2185701,-83.8607145,114,64812.152,223.84526,0
Outlet Shoppes at Atlanta,"951 Ridgewalk Pkwy, Woodstock, GA 30188",34.1229958,-84.52545549999999,79,46896.156,155.12083,0
Peach Orchard Road,"3130 Peach Orchard Rd, Augusta, GA 30906",33.41031359999999,-82.0260933,168,99425.17,329.87723,0
Peachtree at Collier,"1901 Peachtree Rd NE, Atlanta, GA 30309",33.8070022,-84.3935434,140,80253.28,274.89767,0
Peachtree Center,"225 Peachtree St NE # B-40, Atlanta, GA 30303",33.7602157,-84.38708489999999,3058,1399986.6,6004.551,1
Peachtree City Midtown,"707 Highway 54, Peachtree City, GA 30269",33.4096653,-84.5673636,73,41522.406,143.33951,0
Peachtree Corners,"6105 Peachtree Pkwy, Norcross, GA 30092",33.9532887,-84.2346827,67,39477.508,131.55818,0
Peachtree Ind. & Pleasant Hill,"3555 Peachtree Industrial Blvd, Duluth, GA 30096",34.0015621,-84.16973469999999,65,36622.473,127.631065,0
Perimeter at Hammond Drive,"4350 Ashford Dunwoody Rd NE, Atlanta, GA 30346",33.9209789,-84.34151059999999,146,78886.08,286.67902,0
Perimeter Mall,"4400 Ashford Dunwoody Rd Ne, Atlanta, GA 30346",33.9235924,-84.3407299,26783,15927622,52589.89,1
Perimeter Pointe,"1145 Mount Vernon Hwy, Dunwoody, GA 30338",33.9340607,-84.3500172,68,37794.38,133.52173,0
Piedmont Augusta,"1350 Walton Way, Augusta, GA 30901",33.4711803,-81.9830535,8491,4810708.5,16672.545,1
Piedmont Road,"2580 Piedmont Rd NE, Atlanta, GA 30324",33.8253802,-84.3676143,97,49309.934,190.46483,0
Pike Street,"680 Duluth Hwy, Lawrenceville, GA 30046",33.965634,-84.0108554,83,47837.023,162.97505,0
Pleasant Hill Dwarf House,"1570 Pleasant Hill Rd, Duluth, GA 30096",33.9437208,-84.1232517,184,104319.17,361.2941,0
Ponce & Boulevard,"689 Boulevard NE, Atlanta, GA 30308",33.7735229,-84.3704882,26,14283.605,51.052425,0
Pooler,"180 Pooler Pkwy, Pooler, GA 31322",32.1413925,-81.2457079,71,41628.703,139.4124,0
Poplar Road,"2090 Newnan Crossing Blvd E, Newnan, GA 30265",33.3737591,-84.7539584,110,67304.4,215.99103,0
RELO Larry Mulkey Memorial Rd,"725 Atlanta Hwy, Cumming, GA 30040",34.1846087,-84.14635799999999,140,74435.27,274.89767,0
RELO Wesley Chapel Road,"2452 Wesley Chapel Rd, Decatur, GA 30035",33.7158201,-84.2149111,166,101357.69,325.9501,0
Rincon,"5438 GA Highway 21 S, Rincon, GA 31326",32.27469,-81.2291612,116,68412.91,227.77237,0
Riverdale Dwarf House,"6549 Highway 85, Riverdale, GA 30274",33.5756325,-84.4129688,123,73317.88,241.51724,0
Rivermont Station,"8475 Holcomb Bridge Rd, Alpharetta, GA 30022",33.9866992,-84.27047089999999,64,35667.434,125.66751,0
Riverstone Parkway,"1459 Riverstone Pkwy, Canton, GA 30114",34.2523813,-84.47300489999999,143,76549.45,280.78833,0
Rockmart,"1500 Chattahoochee Dr, Rockmart, GA 30153",34.0087197,-85.0320792,140,81668.41,274.89767,0
Roswell Corners,"1185 Woodstock Rd, Roswell, GA 30075",34.0621543,-84.3994142,85,48708.418,166.90216,0
Roswell Road at Cobb Parkway,"1110 Roswell Rd, Marietta, GA 30062",33.9505432,-84.5190808,181,101911.734,355.40344,0
Roswell Town Center,"604 Holcomb Bridge Rd, Roswell, GA 30076",34.0370708,-84.3427064,59,34172.184,115.84974,0
Russell Parkway,"621 Russell Pkwy, Warner Robins, GA 31088",32.5934027,-83.63377969999999,209,120679.92,410.38297,0
Saint Simons,"2205 Demere Rd, Saint Simons Island, GA 31522",31.1597168,-81.39015069999999,75,48569.58,147.26662,0
Salem Bridge [GA],"12920 Brown Bridge Rd, Covington, GA 30016",33.57893749999999,-83.9620042,152,84055.56,298.46033,0
Sam Nunn Blvd,"1600 Sam Nunn Blvd, Perry, GA 31069",32.474614,-83.7463609,1073,675707.56,2106.8943,0
Sandy Springs,"5925 Roswell Rd Ste C, Atlanta, GA 30328",33.9177048,-84.3786616,98,55958.34,192.42838,0
Sanford Stadium,"280 E Campus Rd, Athens, GA 30602",33.9491241,-83.3722039,9592,5437588.5,18834.418,1
Savannah Quarters,"2021 Pooler Pkwy, Pooler, GA 31322",32.080264,-81.28109529999999,100,62737.027,196.35548,0
Savannah State University,"3219 College St, Savannah, GA 31404",32.0226891,-81.0562569,2287,1468480.5,4490.65,1
Scenic Highway,"1559 Scenic Hwy N, Snellville, GA 30078",33.8876953,-84.0100911,146,88164.48,286.67902,0
Senoia,"7996 Wells St, Senoia, GA 30276",33.2953795,-84.5469523,111,67252.38,217.95459,0
Smyrna (GA),"5120 S Cobb Dr SE, Smyrna, GA 30080",33.8282334,-84.492564,22,12006.386,43.198208,0
Snellville at Hwy 78,"3090 Stone Mountain Hwy, Snellville, GA 30078",33.8522396,-84.0401766,140,80715.93,274.89767,0
South Cobb Drive,"3100 S Cobb Dr SE, Smyrna, GA 30080",33.877978,-84.532876,118,69123.89,231.69948,0
South Dublin,"2242 US Highway 441 S, Dublin, GA 31021",32.4855234,-82.9353987,299,189225.08,587.1029,0
South Fulton Parkway at 92,"5395 Thompson Road, South Fulton, GA 30213",33.6131526,-84.611463,123,72745.23,241.51724,0
Sprayberry,"2530 Sandy Plains Rd, Marietta, GA 30066",34.01262639999999,-84.49535519999999,86,48826.563,168.86572,0
St. Augustine Road,"1100 N Saint Augustine Rd, Valdosta, GA 31601",30.8394628,-83.3203329,116,74605.695,227.77237,0
Starr's Mill,"1222 Highway 74 S, Peachtree City, GA 30269",33.3426618,-84.53430089999999,80,45909.7,157.08438,0
State Farm Arena,"1 State Farm Drive, Atlanta, GA 30303",33.7574059,-84.3962337,6930,4098062.8,13607.436,1
Statesboro,"352 Northside Dr E, Statesboro, GA 30458",32.4379362,-81.7610773,64,38408.477,125.66751,0
Stone Mountain,"5075 Stone Mountain Hwy, Stone Mountain, GA 30087",33.82486859999999,-84.10579249999999,122,70067.99,239.5537,0
Stonebridge Village,"5905 Spout Springs Rd, Flowery Branch, GA 30542",34.1775873,-83.9108937,60,32952.918,117.81329,0
Sugarloaf & 316,"4965 Sugarloaf Pkwy, Lawrenceville, GA 30044",33.9574192,-84.0576919,83,46834.188,162.97505,0
Sugarloaf and Satellite,"2000 Satellite Blvd, Duluth, GA 30097",33.988337,-84.0878824,223,133420.33,437.87274,0
Suwanee Road,"3156 Lawrenceville Suwanee Rd, Suwanee, GA 30024",34.0334045,-84.0517404,180,108107.734,353.43988,0
Terminus In-Line,"3280 Peachtree Rd NE Ste 105, Atlanta, GA 30305",33.8444339,-84.3707775,470,196036.05,922.8708,0
Terrell Mill,"1440 Terrell Mill Rd SE, Marietta, GA 30067",33.9173643,-84.4686658,59,36229.117,115.84974,0
The Collection Forsyth,"430 Peachtree Pkwy, Cumming, GA 30041",34.1528564,-84.1748475,160,94054.2,314.16876,0
The Dwarf House,"461 N Central Ave, Hapeville, GA 30354",33.6563813,-84.4040004,451,261960.56,885.56323,0
The Mall at Stonecrest,"2929 Turner Hill Rd Ste 2550, Lithonia, GA 30038",33.7033886,-84.08875309999999,120,75251.266,235.62659,0
Thomaston [GA],"1054 Highway 19 N, Thomaston, GA 30286",32.9221459,-84.3332262,37,22891.35,72.65153,0
Thomasville,"15062 US Highway 19 S, Thomasville, GA 31757",30.8543477,-83.9450736,119,72899.33,233.66302,0
Thomson,"1806 Washington Rd, Thomson, GA 30824",33.5056781,-82.5022468,114,68101.516,223.84526,0
Thornton Road,"835 Thornton Rd, Lithia Springs, GA 30122",33.7821017,-84.6097207,71,41708.293,139.4124,0
