Store_Name,Address
Cleveland (GA),"25 W Underwood St, Cleveland, GA 30528"
Cleveland Avenue,"1065 Cleveland Ave, East Point, GA 30344"
CNN Center,"1 Cnn Ctr NW Ste 224, Atlanta, GA 30303"
College Football Hall of Fame,"256 Marietta St NW, Atlanta, GA 30313"
Colony Square,"1175 Peachtree St NE, Atlanta, GA 30361"
Columbus Park Crossing,"5520 Whittlesey Blvd, Columbus, GA 31909"
Columbus State University,"4225 University Ave, Columbus, GA 31907"
Commerce,"30563 Highway 441 S, Commerce, GA 30529"
Conyers,"1536 Highway 138 SE, Conyers, GA 30013"
Cordele,"1711 E 16th Ave, Cordele, GA 31015"
Cornelia,"330 Furniture Plaza Dr, Cornelia, GA 30531"
Covington (GA),"4102 Highway 278 NW, Covington, GA 30014"
Covington Town Center,"11500 Town Center Drive, Covington, GA 30014"
Coweta Crossroads,"5 Glenda Trce, Newnan, GA 30265"
Cumberland Mall,"2860 Cumberland Mall SE Ste 1324, Atlanta, GA 30339"
Dacula,"545 Dacula Rd, Dacula, GA 30019"
Dahlonega,"488 Morrison Moore Pkwy E, Dahlonega, GA 30533"
Dallas (GA),"300 Charlie Watts Dr, Dallas, GA 30157"
Dalton,"1429 W Walnut Ave, Dalton, GA 30720"
Dalton Mall,"816 Walnut Square Blvd Ste 59, Dalton, GA 30721"
Dawsonville,"231 Power Center Dr, Dawsonville, GA 30534"
Delta Air Lines Headquarters,"1030 Delta Blvd, Atlanta, GA 30354"
Doraville Plaza,"5700 Buford Hwy Ne, Doraville, GA 30340"
Douglas [GA],"1305 Peterson Ave S, Douglas, GA 31533"
Douglasville,"3202 Highway 5, Douglasville, GA 30135"
Downtown Athens In-Line,"101 College Ave, Athens, GA 30601"
Downtown Decatur,"105 E Trinity Pl, Decatur, GA 30030"
Dublin,"2002 Veterans Blvd, Dublin, GA 31021"
Dwarf House Chick-fil-A Classics Mt. Berry Square,"726 Mount Berry Sq NE, Rome, GA 30165"
Dwarf House Shipping Container Drive-Thru,"315 Riverside Pkwy NE, Rome, GA 30161"
Eagles Corner,"333 Tormenta Way, Statesboro, GA 30458"
Eagles Landing,"1275 Eagles Landing Pkwy, Stockbridge, GA 30281"
East Lake,"2105 Roswell Rd, Marietta, GA 30062"
Eisenhower Parkway,"5055 Brookhaven Rd, Macon, GA 31206"
Ellijay,"475 Howard Simmons Rd, Ellijay, GA 30540"
Epps Bridge,"1870 Epps Bridge Pkwy, Athens, GA 30606"
Fairburn,"7810 Senoia Rd, Fairburn, GA 30213"
Fairburn Road Drive-Thru Only,"5888 Fairburn Rd, Douglasville, GA 30134"
Fayetteville Dwarf House,"221 Banks Sta, Fayetteville, GA 30214"
Fayetteville Towne Center,"875 Glynn St S, Fayetteville, GA 30214"
Forest Park Dwarf House,"4959 Jonesboro Rd, Forest Park, GA 30297"
Forsyth [GA],"101 Industrial Park Dr, Forsyth, GA 31029"
Fort Oglethorpe,"1137 Battlefield Pkwy, Fort Oglethorpe, GA 30742"
Fort Valley State University,"1005 State University Dr, Fort Valley, GA 31030"
Gainesville West,"805 Dawsonville Hwy, Gainesville, GA 30501"
Georgia College and State University,"231 W Hancock St, Milledgeville, GA 31061"
Georgia Gwinnett College,"1000 University Center Ln, Lawrenceville, GA 30043"
Georgia Southern University,"8107 Russell Un, Statesboro, GA 30460"
Georgia Southern University - Armstrong Campus,"11935 Abercorn St, Savannah, GA 31419"
Georgia Southwestern State University,"800 Gsw State University Dr, Americus, GA 31709"
Georgia State University,"66 Courtland Street, Atlanta, GA 30303"
Georgia State University - Petit Science Center,"100 Piedmont Avenue SE, Atlanta, GA 30303"
Georgia Tech,"350 Ferst Dr NW, Atlanta, GA 30332"
Glenwood Place,"401 Bill Kennedy Way SE, Atlanta, GA 30316"
Godley Station,"205 Grand Central Boulevard, Pooler, GA 31322"
Grady Memorial Hospital,"80 Jesse Hill Jr Dr Se, Atlanta, GA 30303"
Griffin,"1000 W Taylor St, Griffin, GA 30223"
Grovetown,"210 Meridian Dr, Grovetown, GA 30813"
Gulfstream Aerospace,"500 Gulfstream Rd, Savannah, GA 31408"
Halcyon,"6105 Ollie Walk, Alpharetta, GA 30005"
Hamilton Mill,"2635 Hamilton Mill Rd, Buford, GA 30519"
Hartsfield-Jackson Atlanta Int'l Airport - Conc A,"6000 N Terminal Pkwy, Atlanta, GA 30320"
Hartsfield-Jackson Atlanta Int'l Airport - Conc C,"7700 Spine Rd, Atlanta, GA 30320"
Hickory Flat,"6114 Hickory Flat Hwy, Canton, GA 30115"
Hills and Dales,"2110 Vernon Street, Lagrange, GA 30240"
Hinesville,"877 W Oglethorpe Hwy, Hinesville, GA 31313"
Hiram,"5223 Jimmy Lee Smith Parkway, Hiram, GA 30141"
Howell Mill,"1942 Howell Mill Rd NW, Atlanta, GA 30318"
Hwy 96 and Houston Lake,"790 Highway 96, Bonaire, GA 31005"
Jefferson (GA),"156 Old Farm Road, Jefferson, GA 30549"
Jesse Jewell Parkway,"1917 Jesse Jewell Pkwy NE, Gainesville, GA 30501"
Jett Ferry Road,"2480 Jett Ferry Rd, Dunwoody, GA 30338"
Jimmy Carter Blvd.,"5455 Jimmy Carter Blvd, Norcross, GA 30093"
Jodeco Road,"2155 Jodeco Rd, McDonough, GA 30253"
Johns Creek,"3643 Peachtree Pkwy, Suwanee, GA 30024"
Jonesboro Dwarf House,"7348 Tara Blvd, Jonesboro, GA 30236"
Kedron Village,"1100 N Peachtree Pkwy, Peachtree City, GA 30269"
Kennesaw State University,"395 Cobb Ave NW, Kennesaw, GA 30144"
Kennesaw State University - Marietta,"1100 S Marietta Pkwy SE, Marietta, GA 30060"
Kingsland,"113 Lakes Blvd, Kingsland, GA 31548"
Kroger/W. Marietta Crossing,"1000 Whitlock Ave NW, c/o Kroger Store GA-455"
LaFayette Parkway,"1574 Lafayette Pkwy, Lagrange, GA 30241"
Lake Dow,"860 Highway 81 E, McDonough, GA 30252"
Lake Oconee [GA],"2521 Towne Center Pkwy, Greensboro, GA 30642"
Lake Park,"1015 Lakes Blvd, Lake Park, GA 31636"
LakePoint,"94 Old Allatoona Rd SE, Cartersville, GA 30121"
Larry Mulkey Memorial Rd,"725 Atlanta Hwy, Cumming, GA 30040"
Lassiter,"3046 Shallowford Rd, Marietta, GA 30062"
Lavonia [GA],"20 Owens Dr, Lavonia, GA 30553"
Lee Crossings,"1202 US Highway 19 S, Leesburg, GA 31763"
Lenox Square,"3393 Peachtree Rd NE, Atlanta, GA 30326"
Lilburn,"4801 Lawrenceville Hwy NW, Lilburn, GA 30047"
Line Creek,"2720 Highway 54, Peachtree City, GA 30269"
Locust Grove,"1005 Bandy Pkwy, Locust Grove, GA 30248"
Loganville,"4321 Atlanta Hwy, Loganville, GA 30052"
Lovejoy Station,"11161 Tara Blvd, Hampton, GA 30228"
Lulah Hills,"3795 N Druid Hills Rd, Decatur, GA 30033"
Macland Crossing,"2005 Macland Crossing Cir SW, Marietta, GA 30008"
Macon Road,"2421 Wynnton Rd, Columbus, GA 31906"
Madison (GA),"1781 Eatonton Rd, Madison, GA 30650"
Mall of Georgia,"3333 Buford Dr Spc No1071, Buford, GA 30519"
Mall of Georgia on Buford Drive,"3235 Buford Dr, Buford, GA 30519"
Manchester Expressway,"2730 Manchester Expy, Columbus, GA 31904"
McDonough,"1321 Highway 20 W, McDonough, GA 30253"
Memorial Drive,"5542 Memorial Dr, Stone Mountain, GA 30083"
Mercedes-Benz Stadium,"441 Martin Luther King Jr Dr NW, Atlanta, GA 30313"
Mercer University,"1400 Coleman Ave, Macon, GA 31207"
Midland,"6501 Kitten Lake Dr, Midland, GA 31820"
Midtown Savannah,"7 E Derenne Ave, Savannah, GA 31405"
Milledgeville,"1730 N Columbia St, Milledgeville, GA 31061"
Monroe (GA),"620 Highway 138, Monroe, GA 30655"
Moore Road,"1035 Peachtree Industrial Blvd, Suwanee, GA 30024"
Moultrie,"502 Lane St, Moultrie, GA 31768"
Mullins Crossing,"4201 Washington Rd, Evans, GA 30809"
North Dalton,"1275 N Glenwood Ave, Dalton, GA 30721"
North Decatur,"650 Decatur Village Way, Decatur, GA 30033"
North Druid Hills,"2340 N Druid Hills Rd NE, Atlanta, GA 30329"
North Point Mall,"2180 N Point Cir, Alpharetta, GA 30022"
North Point Parkway,"6085 N Point Pkwy, Alpharetta, GA 30022"
North Valdosta,"3147 Inner Perimeter Rd, Valdosta, GA 31602"
Northeast Georgia Medical Center,"743 Spring St NE, Gainesville, GA 30501"
Northlake Festival,"3967 Lavista Rd, Tucker, GA 30084"
Northridge Drive-Thru Only,"8433 Roswell Rd, Atlanta, GA 30350"
Oakwood,"3437 Winder Hwy, Flowery Branch, GA 30542"
Outlet Shoppes at Atlanta,"951 Ridgewalk Pkwy, Woodstock, GA 30188"
Peach Orchard Road,"3130 Peach Orchard Rd, Augusta, GA 30906"
Peachtree at Collier,"1901 Peachtree Rd NE, Atlanta, GA 30309"
Peachtree Center,"225 Peachtree St NE # B-40, Atlanta, GA 30303"
Peachtree City Midtown,"707 Highway 54, Peachtree City, GA 30269"
Peachtree Corners,"6105 Peachtree Pkwy, Norcross, GA 30092"
Peachtree Ind. & Pleasant Hill,"3555 Peachtree Industrial Blvd, Duluth, GA 30096"
Perimeter at Hammond Drive,"4350 Ashford Dunwoody Rd NE, Atlanta, GA 30346"
Perimeter Mall,"4400 Ashford Dunwoody Rd Ne, Atlanta, GA 30346"
Perimeter Pointe,"1145 Mount Vernon Hwy, Dunwoody, GA 30338"
Piedmont Augusta,"1350 Walton Way, Augusta, GA 30901"
Piedmont Road,"2580 Piedmont Rd NE, Atlanta, GA 30324"
Pike Street,"680 Duluth Hwy, Lawrenceville, GA 30046"
Pleasant Hill Dwarf House,"1570 Pleasant Hill Rd, Duluth, GA 30096"
Ponce & Boulevard,"689 Boulevard NE, Atlanta, GA 30308"
Pooler,"180 Pooler Pkwy, Pooler, GA 31322"
Poplar Road,"2090 Newnan Crossing Blvd E, Newnan, GA 30265"
RELO Larry Mulkey Memorial Rd,"725 Atlanta Hwy, Cumming, GA 30040"
RELO Wesley Chapel Road,"2452 Wesley Chapel Rd, Decatur, GA 30035"
Rincon,"5438 GA Highway 21 S, Rincon, GA 31326"
Riverdale Dwarf House,"6549 Highway 85, Riverdale, GA 30274"
Rivermont Station,"8475 Holcomb Bridge Rd, Alpharetta, GA 30022"
Riverstone Parkway,"1459 Riverstone Pkwy, Canton, GA 30114"
Rockmart,"1500 Chattahoochee Dr, Rockmart, GA 30153"
Roswell Corners,"1185 Woodstock Rd, Roswell, GA 30075"
Roswell Road at Cobb Parkway,"1110 Roswell Rd, Marietta, GA 30062"
Roswell Town Center,"604 Holcomb Bridge Rd, Roswell, GA 30076"
Russell Parkway,"621 Russell Pkwy, Warner Robins, GA 31088"
Saint Simons,"2205 Demere Rd, Saint Simons Island, GA 31522"
Salem Bridge [GA],"12920 Brown Bridge Rd, Covington, GA 30016"
Sam Nunn Blvd,"1600 Sam Nunn Blvd, Perry, GA 31069"
Sandy Springs,"5925 Roswell Rd Ste C, Atlanta, GA 30328"
Sanford Stadium,"280 E Campus Rd, Athens, GA 30602"
Savannah Quarters,"2021 Pooler Pkwy, Pooler, GA 31322"
Savannah State University,"3219 College St, Savannah, GA 31404"
Scenic Highway,"1559 Scenic Hwy N, Snellville, GA 30078"
Senoia,"7996 Wells St, Senoia, GA 30276"
Smyrna (GA),"5120 S Cobb Dr SE, Smyrna, GA 30080"
Snellville at Hwy 78,"3090 Stone Mountain Hwy, Snellville, GA 30078"
South Cobb Drive,"3100 S Cobb Dr SE, Smyrna, GA 30080"
South Dublin,"2242 US Highway 441 S, Dublin, GA 31021"
South Fulton Parkway at 92,"5395 Thompson Road, South Fulton, GA 30213"
Sprayberry,"2530 Sandy Plains Rd, Marietta, GA 30066"
St. Augustine Road,"1100 N Saint Augustine Rd, Valdosta, GA 31601"
Starr's Mill,"1222 Highway 74 S, Peachtree City, GA 30269"
State Farm Arena,"1 State Farm Drive, Atlanta, GA 30303"
Statesboro,"352 Northside Dr E, Statesboro, GA 30458"
Stone Mountain,"5075 Stone Mountain Hwy, Stone Mountain, GA 30087"
Stonebridge Village,"5905 Spout Springs Rd, Flowery Branch, GA 30542"
Sugarloaf & 316,"4965 Sugarloaf Pkwy, Lawrenceville, GA 30044"
Sugarloaf and Satellite,"2000 Satellite Blvd, Duluth, GA 30097"
Suwanee Road,"3156 Lawrenceville Suwanee Rd, Suwanee, GA 30024"
Terminus In-Line,"3280 Peachtree Rd NE Ste 105, Atlanta, GA 30305"
Terrell Mill,"1440 Terrell Mill Rd SE, Marietta, GA 30067"
The Collection Forsyth,"430 Peachtree Pkwy, Cumming, GA 30041"
The Dwarf House,"461 N Central Ave, Hapeville, GA 30354"
The Mall at Stonecrest,"2929 Turner Hill Rd Ste 2550, Lithonia, GA 30038"
Thomaston [GA],"1054 Highway 19 N, Thomaston, GA 30286"
Thomasville,"15062 US Highway 19 S, Thomasville, GA 31757"
Thomson,"1806 Washington Rd, Thomson, GA 30824"
Thornton Road,"835 Thornton Rd, Lithia Springs, GA 30122"
Tifton,"1197 US Highway 82 W, Tifton, GA 31793"
Toccoa [GA],"605 Big A Rd, Toccoa, GA 30577"
Tom Hill Sr Blvd,"140 Tom Hill Sr Blvd, Macon, GA 31210"
Town Center At Cobb,"400 Ernest W Barrett Pkwy NW, Kennesaw, GA 30144"
Towne Lake,"3070 Eagle Dr, Woodstock, GA 30189"
Truett's Chick-fil-A - Newnan,"505 Highway 34 E, Newnan, GA 30265"
Truett's Chick-fil-A - Rome,"264 Shorter Ave NW, Rome, GA 30165"
Truett's Chick-fil-A - Stockbridge,"3649 Highway 138 SE, Stockbridge, GA 30281"
Truett's Chick-fil-A - Woodstock,"9728 Highway 92, Woodstock, GA 30188"
Truett's Chick-fil-A Catering & Delivery - VA Ave,"801 Virginia Ave, Hapeville, GA 30354"
Truett's Grill - Griffin,"1455 N Expressway, Griffin, GA 30223"
Truett's Grill - McDonough,"1785 Jonesboro Rd, McDonough, GA 30253"
Truett's Grill - Morrow,"2042 Mount Zion Rd, Morrow, GA 30260"
Truett's Luau,"600 Lanier Ave W Ste 103, Fayetteville, GA 30214"
Truist Park,"755 Battery Ave SE, Atlanta, GA 30339"
Tucker Hugh Howell Road,"4435 Hugh Howell Rd, Tucker, GA 30084"
Turner Hill Road,"2985 Turner Hill Rd, Lithonia, GA 30038"
Union Grove Crossroads,"1940 Highway 155 N, McDonough, GA 30252"
University of Georgia,"45 Baxter St, Athens, GA 30602"
University of West Georgia,"Campus Dining, Carrollton, GA 30118"
Valdosta State University - Student Union,"1500 N Patterson St, Valdosta, GA 31698"
Victory at Skidaway,"2111 E Victory Dr, Savannah, GA 31404"
Vidalia,"2349 E 1st St, Vidalia, GA 30474"
Villa Rica,"85 Commerce Dr, Villa Rica, GA 30180"
Vine City,"875 Martin Luther King Jr Dr NW, Atlanta, GA 30314"
Vinings,"2485 Cumberland Pkwy SE, Atlanta, GA 30339"
Washington Road,"3066 Washington Rd, Augusta, GA 30907"
Watson Blvd,"3000 Watson Blvd, Warner Robins, GA 31093"
Waycross,"2256 Memorial Dr, Waycross, GA 31501"
Wesley Chapel Road,"2452 Wesley Chapel Rd, Decatur, GA 30035"
West Cobb,"2555 Dallas Hwy SW, Marietta, GA 30064"
West Midtown,"1100 Northside Dr NW, Atlanta, GA 30318"
West Paces Ferry,"3419 Northside Pkwy NW, Atlanta, GA 30327"
Winder,"97 Shephard Lane, Bethlehem, GA 30620"
Windward Parkway,"5180 Windward Pkwy, Alpharetta, GA 30004"
Windy Hill Road,"2661 Windy Hill Rd SE, Marietta, GA 30067"
Woodlawn Square,"1201 Johnson Ferry Rd, Marietta, GA 30068"
Young Harris College,"228 Maple Street, Young Harris, GA 30582"
Zebulon Road,"5920 Zebulon Rd, Macon, GA 31210"
